"Land","Geschlecht","count","Jahr"
"SUI","Women",2,1980
"SUR","Women",0,1980
"SVK","Women",0,1980
"SWE","Women",6,1980
"SWZ","Women",0,1980
"SYR","Women",2,1980
"TAN","Women",5,1980
"TCH","Women",4,1980
"TGA","Women",0,1980
"THA","Women",0,1980
"TJK","Women",0,1980
"TKM","Women",0,1980
"TLS","Women",0,1980
"TOG","Women",0,1980
"TPE","Women",0,1980
"TTO","Women",0,1980
"TUN","Women",0,1980
"TUR","Women",0,1980
"TUV","Women",0,1980
"UAE","Women",0,1980
"UGA","Women",0,1980
"UKR","Women",0,1980
"URS","Women",35,1980
"URU","Women",0,1980
"USA","Women",0,1980
"UZB","Women",0,1980
"VAN","Women",0,1980
"VEN","Women",0,1980
"VIE","Women",4,1980
"VIN","Women",0,1980
"YAR","Women",0,1980
"YEM","Women",0,1980
"YUG","Women",2,1980
"ZAI","Women",0,1980
"ZAM","Women",0,1980
"ZIM","Women",0,1980
"AFG","Men",0,1984
"AHO","Men",1,1984
"ALB","Men",0,1984
"ALG","Men",9,1984
"AND","Men",0,1984
"ANG","Men",0,1984
"ANT","Men",6,1984
"ARG","Men",4,1984
"ARM","Men",0,1984
"ARU","Men",0,1984
"ASA","Men",0,1984
"AUS","Men",20,1984
"AUT","Men",6,1984
"AZE","Men",0,1984
"BAH","Men",9,1984
"BAN","Men",1,1984
"BAR","Men",7,1984
"BDI","Men",0,1984
"BEL","Men",11,1984
"BEN","Men",0,1984
"BER","Men",3,1984
"BIH","Men",0,1984
"BIR","Men",0,1984
"BIZ","Men",4,1984
"BLR","Men",0,1984
"BOL","Men",2,1984
"BOT","Men",6,1984
"BRA","Men",17,1984
"BRN","Men",1,1984
"BRU","Men",0,1984
"BUL","Men",0,1984
"BUR","Men",0,1984
"CAF","Men",1,1984
"CAM","Men",0,1984
"CAN","Men",32,1984
"CAY","Men",0,1984
"CGO","Men",5,1984
"CHA","Men",3,1984
"CHI","Men",4,1984
"CHN","Men",13,1984
"CIV","Men",5,1984
"CMR","Men",5,1984
"COD","Men",0,1984
"COK","Men",0,1984
"COL","Men",5,1984
"COM","Men",0,1984
"CPV","Men",0,1984
"CRC","Men",3,1984
"CRO","Men",0,1984
"CUB","Men",0,1984
"CUR","Men",0,1984
"CYP","Men",3,1984
"CZE","Men",0,1984
"DEN","Men",2,1984
"DJI","Men",3,1984
"DMA","Men",0,1984
"DOM","Men",2,1984
"ECU","Men",3,1984
"EGY","Men",7,1984
"ERI","Men",0,1984
"ESA","Men",3,1984
"ESP","Men",24,1984
"EST","Men",0,1984
"ETH","Men",0,1984
"EUN","Men",0,1984
"FIJ","Men",3,1984
"FIN","Men",14,1984
"FRA","Men",31,1984
"FRG","Men",35,1984
"FSM","Men",0,1984
"GAB","Men",0,1984
"GAM","Men",6,1984
"GBR","Men",51,1984
"GBS","Men",0,1984
"GDR","Men",0,1984
"GEO","Men",0,1984
"GEQ","Men",4,1984
"GER","Men",0,1984
"GHA","Men",8,1984
"GRE","Men",8,1984
"GRN","Men",1,1984
"GUA","Men",5,1984
"GUI","Men",0,1984
"GUM","Men",0,1984
"GUY","Men",2,1984
"HAI","Men",1,1984
"HKG","Men",1,1984
"HON","Men",2,1984
"HUN","Men",0,1984
"ICP","Men",0,1984
"INA","Men",4,1984
"IND","Men",3,1984
"IOA","Men",0,1984
"IRI","Men",0,1984
"IRL","Men",10,1984
"IRQ","Men",0,1984
"ISL","Men",5,1984
"ISR","Men",4,1984
"ISV","Men",4,1984
"ITA","Men",39,1984
"IVB","Men",4,1984
"JAM","Men",18,1984
"JOR","Men",4,1984
"JPN","Men",16,1984
"KAZ","Men",0,1984
"KEN","Men",27,1984
"KGZ","Men",0,1984
"KIR","Men",0,1984
"KOR","Men",9,1984
"KSA","Men",0,1984
"KUW","Men",2,1984
"LAN","Men",0,1984
"LAO","Men",0,1984
"LAT","Men",0,1984
"LBA","Men",0,1984
"LBR","Men",6,1984
"LCA","Men",0,1984
"LES","Men",2,1984
"LIB","Men",2,1984
"LIE","Men",1,1984
"LTU","Men",0,1984
"LUX","Men",1,1984
"MAD","Men",2,1984
"MAR","Men",2,1984
"MAS","Men",2,1984
"MAW","Men",5,1984
"MDA","Men",0,1984
"MDV","Men",0,1984
"MEX","Men",12,1984
"MGL","Men",0,1984
"MHL","Men",0,1984
"MKD","Men",0,1984
"MLI","Men",2,1984
"MLT","Men",0,1984
