"1","2","3","4","Game"
"1","4","Justin Gatlin","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.44"
"2","6","Derrick Atkins","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.45"
"3","5","Rondel Sorrillo","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.46"
"4","8","Dariusz Kuć","Poland","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.47"
"5","9","Nilson André","Brazil","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.48"
"6","7","Masashi Eriguchi","Japan","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.49"
"7","3","Barakat Al-Harthi","Oman","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.50"
"8","2","Fernando Lumain","Indonesia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.51"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.52"
"1","7","Ryan Bailey","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.53"
"2","8","Ben Youssef Meïté","Ivory Coast","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.54"
"3","6","Justyn Warner","Canada","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.55"
"4","4","Kemar Hyman","Cayman Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.56"
"5","9","Suwaibou Sanneh","The Gambia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.57"
"6","5","Rytis Sakalauskas","Lithuania","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.58"
"7","3","Béranger Aymard Bosse","Central African Republic","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.59"
"8","2","Artur Bruno Rojas","Bolivia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.60"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.61"
"1","7","Usain Bolt","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.62"
"2","5","Daniel Bailey","Antigua and Barbuda","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.63"
"3","6","James Dasaolu","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.64"
"4","3","Amr Ibrahim Mostafa Seoud","Egypt","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.65"
"5","4","Jason Rogers","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.66"
"6","8","Ogho-Oghene Egwero","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.67"
